avg_surgery_cost,avg_surgery_time,avg_compl_time,rate_in,rate_out,stability
[5.14603135 5.19486521 5.46458774],[ 3.60372927  9.88420233 15.53451985],[8487.84711203 8026.28485592 8360.90264786],0.34923148256719666,0.2476108971616032,False
[5.1858494  5.20572274 5.54134241],[ 3.58227344  9.86720277 16.54585397],[9078.64843281 8808.21139378 9057.09617795],0.342666625944464,0.24226506187950497,False
[5.24019055 5.22881356 5.54158416],[ 3.58103249  9.72592488 16.09758068],[8619.26588897 8447.80190765 8385.86241246],0.3440598532292598,0.24518144591923186,False
[5.16892304 5.19258886 5.48741983],[ 3.51134418  9.81467614 15.46150445],[8740.65724559 8282.31217929 8337.9099478 ],0.34184534987098514,0.2479213247624371,False
[5.19818926 5.19061656 5.46207238],[ 3.56154015  9.49528749 16.60901697],[8871.77400367 9111.8707199  8885.96003606],0.3532771110190452,0.24492869011354196,False
